Arrive Or Depart,Schedule,Airline,Flight Number,Gate,Terminal
A,1/3/2018 7:45:00 AM,Southwest Airlines,637,C18,4
A,1/3/2018 7:47:00 AM,American Airlines,1107,A14,4
A,1/3/2018 7:48:00 AM,American Airlines,511,A17,4
A,1/3/2018 7:49:00 AM,American Airlines,5823,B20,4
D,1/3/2018 7:50:00 AM,Southwest Airlines,1407,C1,4
A,1/3/2018 7:50:00 AM,American Airlines,5836,B2,4
D,1/3/2018 7:55:00 AM,Southwest Airlines,532,D3,4
A,1/3/2018 7:56:00 AM,American Airlines,1110,A9,4
A,1/3/2018 7:59:00 AM,American Airlines,697,B14,4
A,1/1/2018 8:59:00 AM,American Airlines,1639,A4,4
D,1/1/2018 9:00:00 AM,Southwest Airlines,39,C19,4
D,1/1/2018 9:00:00 AM,Southwest Airlines,1954,D2,4
A,1/1/2018 9:02:00 AM,American Airlines,3165,A1,4
A,1/1/2018 9:02:00 AM,American Airlines,3160,B3,4
A,1/1/2018 9:02:00 AM,American Airlines,5896,,4
A,1/1/2018 9:05:00 AM,American Airlines,3024,B22,4
A,1/1/2018 9:05:00 AM,American Airlines,3132,B15B,4
A,1/1/2018 9:05:00 AM,Southwest Airlines,625,D7,4
A,1/1/2018 9:09:00 AM,American Airlines,5909,B20,4
D,1/1/2018 9:10:00 AM,Southwest Airlines,1033,C11,4
A,1/1/2018 9:10:00 AM,American Airlines,5810,B21,4
A,1/1/2018 9:10:00 AM,Southwest Airlines,963,C17,4
A,1/1/2018 9:14:00 AM,American Airlines,2754,A29,4
D,1/1/2018 9:15:00 AM,Southwest Airlines,595,C6,4
A,1/1/2018 9:15:00 AM,Southwest Airlines,1886,C14,4
A,1/1/2018 9:20:00 AM,Southwest Airlines,1415,C7,4
A,1/1/2018 9:20:00 AM,Southwest Airlines,1816,D8,4
A,1/1/2018 9:20:00 AM,Southwest Airlines,1734,D4,4
D,1/1/2018 9:21:00 AM,Frontier Airlines,1868,25,3
A,1/1/2018 9:25:00 AM,Southwest Airlines,1368,C9,4
A,1/1/2018 9:25:00 AM,Southwest Airlines,1405,C8,4
A,1/1/2018 9:25:00 AM,Southwest Airlines,1556,D1,4
D,1/1/2018 9:30:00 AM,United Airlines,316,8,2
A,1/1/2018 9:30:00 AM,Southwest Airlines,171,D5,4
A,1/1/2018 9:30:00 AM,Southwest Airlines,1506,C16,4
A,1/1/2018 9:30:00 AM,Southwest Airlines,1979,C13,4
A,1/1/2018 9:34:00 AM,Delta Air Lines,1611,17,3
D,1/1/2018 9:35:00 AM,American Airlines,619,A2,4
D,1/1/2018 9:35:00 AM,American Airlines,743,B25,4
D,1/1/2018 9:35:00 AM,American Airlines,3079,B7,4
A,1/1/2018 9:35:00 AM,Southwest Airlines,1864,D3,4
A,1/1/2018 9:35:00 AM,Southwest Airlines,613,D6,4
A,1/1/2018 9:35:00 AM,Southwest Airlines,1547,C18,4
D,1/1/2018 9:36:00 AM,American Airlines,1840,A10,4
D,1/1/2018 9:38:00 AM,American Airlines,652,A17,4
D,1/1/2018 9:40:00 AM,American Airlines,1650,A8,4
D,1/1/2018 9:40:00 AM,American Airlines,532,A23,4
D,1/1/2018 9:40:00 AM,American Airlines,554,A14,4
D,1/1/2018 9:40:00 AM,American Airlines,5875,B20,4
D,1/1/2018 9:40:00 AM,American Airlines,5891,B2,4
A,1/1/2018 9:40:00 AM,Southwest Airlines,858,C3,4
A,1/1/2018 9:40:00 AM,Southwest Airlines,6072,C1,4
D,1/1/2018 9:41:00 AM,American Airlines,5906,B1A,4
D,1/1/2018 9:43:00 AM,American Airlines,595,A11,4
A,1/1/2018 9:43:00 AM,WestJet,1922,B23,4
D,1/1/2018 9:44:00 AM,American Airlines,1598,B7,4
D,1/1/2018 9:44:00 AM,American Airlines,3068,B9,4
D,1/1/2018 9:45:00 AM,American Airlines,665,A6,4
D,1/1/2018 9:45:00 AM,American Airlines,515,B23,4
D,1/1/2018 9:45:00 AM,American Airlines,3080,A1,4
D,1/1/2018 9:45:00 AM,American Airlines,3071,B5,4
D,1/1/2018 9:46:00 AM,American Airlines,593,A27,4
A,1/1/2018 9:46:00 AM,Delta Air Lines,1384,19,3
D,1/1/2018 9:48:00 AM,American Airlines,3022,B22,4
